doc_id,sent_id,event_type,trigger_word,agent,patient,time_expr,sentence,event_id,trigger_lemma,trigger_token,agent_key,patient_key,time_key,time_prep,location,location_key,negated,confidence
wn-0009,29,launch,launched,,an international collaboration,"Nov. 20, 2004","Swift, still in its checkout phase, is an international collaboration launched on Nov. 20, 2004.",wn-0009:29:571,launch,571,,,"DATE:Nov. 20, 2004",on,,,False,0.65
wn-0010,4,landing,landing,,its landing rockets,,"Also visible and labeled on this image are the spacecraft's lander, backshell, parachute and heat shield, plus effects of its landing rockets.",wn-0010:4:87,land,87,,,,,,,False,0.6
wn-0010,5,discovery,observation,,,,The camera captured this image with use of a technique called compensated pitch and roll targeted observation.,wn-0010:5:107,observation,107,,,,,,,False,0.5
wn-0013,10,failure,failure,,,,The anonymous U.S. official told Reuters the estimated cost of a robotic repair was $2 billion and one feasibility study gave it an 80 percent chance of failure .,wn-0013:10:326,failure,326,,,,,,,False,0.5
wn-0013,12,failure,fail,it,that,,"""Trying to send a robotic mission to extend that time period would be a $2 billion gamble with taxpayer dollars where the odds are 80-20 that it would fail.",wn-0013:12:380,fail,380,,,,,,,False,0.6
wn-0013,17,launch,launch,,its,1990,"Since its launch in 1990, the Hubble Telescope's state of the art technology has dramatically changed our understanding of the universe and produced thousands of extraordinary discoveries .""",wn-0013:17:465,launch,465,,,DATE:1990,in,,,False,0.6
wn-0013,17,discovery,discoveries,,,1990,"Since its launch in 1990, the Hubble Telescope's state of the art technology has dramatically changed our understanding of the universe and produced thousands of extraordinary discoveries .""",wn-0013:17:491,discovery,491,,,DATE:1990,,,,False,0.55
wn-0014,0,launch,launch,,its,last November,"NASA's Swift satellite has completed all tests since its launch last November and with the Ultravioliet/Optical Telescope (UVOT) now on line, is now fully functional for the mission's 2 year quest for gamma-ray bursts.",wn-0014:0:10,launch,10,,,DATE:last November,,,,False,0.6
wn-0014,4,discovery,observation,,first-light,,"But more than a pretty image, this first-light observation is a test of the UVOT's capabilities.",wn-0014:4:126,observation,126,,,,,,,False,0.55
wn-0014,6,discovery,observed,,the most powerful objects,,Gamma ray bursts are some of the most powerful objects observed in the Universe and are thought to signal the birth of black holes.,wn-0014:6:148,observe,148,,,,,Universe,ORG:Universe,False,0.6
wn-0014,7,discovery,detect,Swift,the bursts,,Swift is designed to detect the bursts and automatically re-orient itself to gather images and data of the phenomenon.,wn-0014:7:168,detect,168,SPACECRAFT:Swift,,,,,,False,0.7
wn-0014,8,discovery,detected,Swift,,"January 17, 2005","Swift detected and imaged its first official burst on January 17, 2005, before the UVOT was operational with the aid of the Burst Alert (BAT) and X-ray (XRT) telescopes activated several weeks earlier.",wn-0014:8:187,detect,187,SPACECRAFT:Swift,,"DATE:January 17, 2005",,,,False,0.7
wn-0014,9,discovery,detects,BAT,the gamma-ray bursts,,"The BAT detects the gamma-ray bursts, automatically and immediately turns the telescope, bringing the XRT and UVOT to bear on the location of the event which record detailed observations of the burst afterglow.",wn-0014:9:230,detect,230,ORG:BAT,,,,,,False,0.7
wn-0014,9,discovery,observations,,the burst afterglow,,"The BAT detects the gamma-ray bursts, automatically and immediately turns the telescope, bringing the XRT and UVOT to bear on the location of the event which record detailed observations of the burst afterglow.",wn-0014:9:260,observation,260,,,,,,,False,0.55
wn-0015,0,discovery,found,Scientists,strong evidence,,Scientists studying data from the Chandra X-ray telescope have found strong evidence for the missing half of ordinary matter in the universe.,wn-0015:0:11,find,11,,,,,,,False,0.6
wn-0015,3,discovery,found,we,the likely hiding place,,"""Now we have found the likely hiding place of the missing baryons.""",wn-0015:3:106,find,106,,,,,,,False,0.6
wn-0015,8,discovery,detected,,Evidence,,"Evidence of the clouds had been previously detected around our own galaxy and in the Local Group, but the temperature range (a few hundred thousand to a million degrees Celsius) and low density have prevented detection outside the immediate neighborhood of galaxies and the reliable estimation of baryon density for the entire universe.",wn-0015:8:245,detect,245,,,,,,,False,0.6
wn-0015,8,discovery,detection,,,,"Evidence of the clouds had been previously detected around our own galaxy and in the Local Group, but the temperature range (a few hundred thousand to a million degrees Celsius) and low density have prevented detection outside the immediate neighborhood of galaxies and the reliable estimation of baryon density for the entire universe.",wn-0015:8:276,detection,276,,,,,,,False,0.5
wn-0015,9,discovery,detected,,The clouds,,The clouds were detected using Chandra observations when the galaxy Mkn 421 brightened in X-ray emissions.,wn-0015:9:299,detect,299,,,,,,,False,0.6
wn-0015,9,discovery,observations,,Chandra,,The clouds were detected using Chandra observations when the galaxy Mkn 421 brightened in X-ray emissions.,wn-0015:9:302,observation,302,,GPE:Chandra,,,,,False,0.7
wn-0015,13,discovery,finding,Nicastro,,,"Assuming that the size and distribution of the clouds are representative, Nicastro and colleagues made the first reliable estimate of average density of baryons in such clouds throughout the Universe, finding it consistent with the mass density of the missing baryons.",wn-0015:13:413,find,413,GPE:Nicastro,,,,,,False,0.65
wn-0015,14,discovery,observed,,Mkn 421,May 2000,"Mkn 421 was observed three times with Chandra's Low-Energy Transmission Grating (LETG), twice in conjunction with the High Resolution Camera (May 2000 and July 2003) and once with the Advanced CCD Imaging Spectrometer (October 2002).",wn-0015:14:429,observe,429,,PERSON:Mkn 421,DATE:May 2000,,,,False,0.8
wn-0016,0,failure,lose out,,The revolutionary space telescope,2006,The revolutionary space telescope that brought great images of space back down to Earth will lose out in NASA's budget reorganisation for 2006.,wn-0016:0:15,lose,15,,,DATE:2006,for,,,False,0.65
wn-0016,3,failure,cancelled,,A planned fifth maintenance job,,"A planned fifth maintenance job on the space telescope was cancelled as a result of the Columbia disaster, and experts argue as to how long it can remain useful to scientists.",wn-0016:3:88,cancel,88,,,,,,,False,0.6
wn-0016,3,failure,disaster,,Columbia,,"A planned fifth maintenance job on the space telescope was cancelled as a result of the Columbia disaster, and experts argue as to how long it can remain useful to scientists.",wn-0016:3:95,disaster,95,,ORG:Columbia,,,,,False,0.7
wn-0016,4,failure,fail,,It,2007,It is expected to fail irreversibly by 2007 if vital work is not done.,wn-0016:4:115,fail,115,,,DATE:2007,by,,,False,0.65
wn-0017,0,discovery,discovery,,the smallest planet,,Alex Wolszczan of Penn State and Maciej Konacki of Caltech announced the discovery of the smallest planet detected outside our solar system.,wn-0017:0:12,discovery,12,,,,,,,False,0.55
wn-0017,0,discovery,detected,the smallest planet,,,Alex Wolszczan of Penn State and Maciej Konacki of Caltech announced the discovery of the smallest planet detected outside our solar system.,wn-0017:0:17,detect,17,,,,,,,False,0.55
wn-0017,1,discovery,found,Wolszczan,the very first extrasolar planets,1992,The new body is located in the same planetary system where Wolszczan found the very first extrasolar planets in 1992.,wn-0017:1:35,find,35,PERSON:Wolszczan,,DATE:1992,in,,,False,0.75
wn-0017,4,discovery,discovered,Three terrestrial planets,earlier occupy orbits,,"Three terrestrial planets discovered earlier occupy orbits similar in proportion to the orbits of Mercury, Venus, and Earth.",wn-0017:4:119,discover,119,,,,,,,False,0.6
wn-0017,6,discovery,discovered,,any extrasolar planetary system,,"""Surprisingly, the planetary system around this pulsar resembles our own solar system more than any extrasolar planetary system discovered around a Sun-like star,"" Konacki said.",wn-0017:6:183,discover,183,,,,,,,False,0.6
wn-0017,7,discovery,observations,,our,,"""Because our observations practically rule out a possible presence of an even more distant, massive planet or planets around the pulsar, it is quite possible that the tiny fourth planet is the largest member of a cloud of interplanetary debris at the outer edge of the pulsar's planetary system, a remnant of the original protoplanetary disk that created the three inner planets,"" Wolszczan explained.",wn-0017:7:199,observation,199,,,,,,,False,0.55
wn-0017,8,discovery,discovery,,planets,1992,"Since the original discovery of planets in 1992, Wolszczan and colleagues, using the Arecibo radio telescope in Puerto Rico, "". . .",wn-0017:8:272,discovery,272,,,DATE:1992,in,,,False,0.6
wn-0017,9,discovery,discovery,,,,"feel now, with this discovery, that the basic inventory of this planetary system has been completed.""",wn-0017:9:300,discovery,300,,,,,,,False,0.5
